per: .word 16, 16
.byte 173,173,173,173,173,173,173,234,173,173,173,173,173,173,173,173,
173,173,173,173,173,173,173,173,161,173,173,173,173,173,173,173,
173,173,173,173,173,173,173,234,162,234,173,173,173,173,173,173,
173,173,173,173,173,173,234,163,161,164,173,173,173,173,173,173,
173,173,173,173,173,234,81,161,254,153,234,173,173,173,173,173,
173,173,173,173,154,73,81,81,81,81,73,73,173,173,173,173,
173,173,173,172,0,81,73,73,246,73,82,8,173,173,173,173,
173,173,173,164,173,91,164,90,0,81,0,0,173,173,173,173,
173,173,173,82,255,163,246,82,0,255,153,255,173,173,173,173,
173,173,173,91,90,163,163,9,155,90,90,154,173,173,173,173,
173,173,173,73,1,73,73,0,73,81,73,9,173,173,173,173,
173,173,173,173,0,1,9,0,0,9,0,81,173,173,173,173,
173,173,173,173,171,0,0,0,0,0,91,173,173,173,173,173,
173,173,173,173,91,82,0,8,81,81,73,173,173,173,173,173,
173,173,173,0,0,0,0,153,173,0,0,0,0,173,173,173,
173,173,173,0,0,0,0,173,173,0,0,0,0,173,173,173,


